bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
0,0.0,0.99609375,0.498046875,0.06128297317055077,0.03881542854498687,7084649.0,2475404.0
1,0.99609375,1.9921875,1.494140625,0.0015288026424762613,0.004635844238832385,176738.0,295645.0
2,1.9921875,2.98828125,2.490234375,0.0012634346544607427,0.0031464061062274986,146060.0,200658.0
3,2.98828125,3.984375,3.486328125,0.0011741049976305626,0.002314558664633499,135733.0,147608.0
4,3.984375,4.98046875,4.482421875,0.0010574669524385275,0.0018732483084370514,122249.0,119464.0
5,4.98046875,5.9765625,5.478515625,0.0009956446364353033,0.0016075432208251697,115102.0,102519.0
6,5.9765625,6.97265625,6.474609375,0.001000592497741284,0.0014731304730524314,115674.0,93947.0
7,6.97265625,7.96875,7.470703125,0.0010169585005226048,0.0016492218353351953,117565.99999999999,105177.0
8,7.96875,8.96484375,8.466796875,0.0010374419543207909,0.0020885721362969723,119934.0,133196.0
9,8.96484375,9.9609375,9.462890625,0.001045650906032986,0.0023612079792186477,120882.99999999999,150583.0
10,9.9609375,10.95703125,10.458984375,0.001091634875792765,0.001933476885687995,126199.00000000001,123305.0
11,10.95703125,11.953125,11.455078125,0.00123469899841447,0.001624619222029616,142738.0,103608.0
12,11.953125,12.94921875,12.451171875,0.001175350613064236,0.0015909533133189218,135877.0,101461.0
13,12.94921875,13.9453125,13.447265625,0.0012410308768689767,0.0015148718093299664,143470.0,96609.0
14,13.9453125,14.94140625,14.443359375,0.0012850253219777493,0.0014486689837237485,148556.0,92387.0
15,14.94140625,15.9375,15.439453125,0.00145499127792393,0.0013507759850833838,168205.0,86144.0
16,15.9375,16.93359375,16.435546875,0.0014227523284704507,0.0012019058698997187,164478.0,76650.0
17,16.93359375,17.9296875,17.431640625,0.0012858903326955782,0.001179106507410036,148656.0,75196.0
18,17.9296875,18.92578125,18.427734375,0.0013729536614450468,0.0011874014611631598,158721.0,75725.0
19,18.92578125,19.921875,19.423828125,0.0014731997535342262,0.00112703175993532,170310.0,71875.0
20,19.921875,20.91796875,20.419921875,0.0013393133946286847,0.0009928071774651102,154832.0,63315.0
21,20.91796875,21.9140625,21.416015625,0.0011590884115690546,0.0009062354578602002,133997.0,57794.0
22,21.9140625,22.91015625,22.412109375,0.0010470349231815122,0.0009002141681792936,121043.0,57410.0
23,22.91015625,23.90625,23.408203125,0.001016361643127303,0.0009018919754601712,117497.0,57517.0
