pair,pos_total_detections_ge1,pos_detections_ge1,pos_detections_ge2,pos_detections_ge3,pos_detections_ge4,pos_detections_ge5,pos_solo_only_count,pos_low_consensus_count,pos_high_consensus_count,pos_max_consensus_present,pos_disagreement_level,neg_total_detections_ge1,neg_detections_ge1,neg_detections_ge2,neg_detections_ge3,neg_detections_ge4,neg_detections_ge5,neg_solo_only_count,neg_low_consensus_count,neg_high_consensus_count,neg_max_consensus_present,neg_disagreement_level,all_total_detections_ge1,all_detections_ge1,all_detections_ge2,all_detections_ge3,all_detections_ge4,all_detections_ge5,all_solo_only_count,all_low_consensus_count,all_high_consensus_count,all_max_consensus_present,all_disagreement_level
86,1,1,1,0,0,0,0,1,0,2,4,1,1,1,1,0,0,0,0,0,3,3,2,2,2,1,0,0,0,1,0,3,3
87,1,1,0,0,0,0,1,1,0,1,5,2,2,2,1,1,0,0,1,1,4,2,3,3,2,1,1,0,1,2,1,4,2
88,2,2,0,0,0,0,2,2,0,1,5,2,2,2,1,1,0,0,1,1,4,2,4,4,2,1,1,0,2,3,1,4,2
89,1,1,1,0,0,0,0,1,0,2,4,1,1,1,1,1,1,0,0,1,5,1,2,2,2,1,1,1,0,1,1,5,1
90,3,3,2,1,0,0,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,1,2,0,3,3
91,2,2,2,2,1,1,0,0,1,5,1,1,1,0,0,0,0,1,1,0,1,5,3,3,2,2,1,1,1,1,1,5,1
92,4,4,0,0,0,0,4,4,0,1,5,1,1,1,1,1,0,0,0,1,4,2,5,5,1,1,1,0,4,4,1,4,2
93,1,1,1,1,1,1,0,0,1,5,1,1,1,0,0,0,0,1,1,0,1,5,2,2,1,1,1,1,1,1,1,5,1
94,2,2,1,1,1,1,1,1,1,5,1,1,1,0,0,0,0,1,1,0,1,5,3,3,1,1,1,1,2,2,1,5,1
95,2,2,2,2,2,1,0,0,2,5,1,1,1,0,0,0,0,1,1,0,1,5,3,3,2,2,2,1,1,1,2,5,1
96,2,2,2,2,2,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,5,1
97,1,1,0,0,0,0,1,1,0,1,5,2,2,2,1,0,0,0,1,0,3,3,3,3,2,1,0,0,1,2,0,3,3
98,3,3,2,2,1,1,1,1,1,5,1,2,2,0,0,0,0,2,2,0,1,5,5,5,2,2,1,1,3,3,1,5,1
