consensus_level,sensitivity_positive,detected_positive,total_positive,sensitivity_negative,detected_negative,total_negative
1,0.4143646408839779,75,181,0.4676258992805755,65,139
2,0.6565656565656566,65,99,0.6144578313253012,51,83
3,0.7297297297297297,54,74,0.7291666666666666,35,48
4,0.8269230769230769,43,52,0.7741935483870968,24,31
5,0.8888888888888888,24,27,0.7692307692307693,10,13
